SM=0 | 11.736 ms | 45.74 GB/s
SM=1 | 11.737 ms | 45.74 GB/s
SM=2 | 11.772 ms | 45.61 GB/s
SM=3 | 11.778 ms | 45.58 GB/s
SM=4 | 11.741 ms | 45.72 GB/s
SM=5 | 11.742 ms | 45.72 GB/s
SM=6 | 11.795 ms | 45.52 GB/s
SM=7 | 11.792 ms | 45.53 GB/s
SM=8 | 11.730 ms | 45.77 GB/s
SM=9 | 11.729 ms | 45.77 GB/s
SM=10 | 11.752 ms | 45.68 GB/s
SM=11 | 11.753 ms | 45.68 GB/s
SM=12 | 11.733 ms | 45.76 GB/s
SM=13 | 11.734 ms | 45.75 GB/s
SM=14 | 11.732 ms | 45.76 GB/s
SM=15 | 11.733 ms | 45.76 GB/s
SM=16 | 11.736 ms | 45.75 GB/s
SM=17 | 11.737 ms | 45.74 GB/s
SM=18 | 11.771 ms | 45.61 GB/s
SM=19 | 11.770 ms | 45.61 GB/s
SM=20 | 11.739 ms | 45.73 GB/s
SM=21 | 11.742 ms | 45.72 GB/s
SM=22 | 11.793 ms | 45.53 GB/s
SM=23 | 11.792 ms | 45.53 GB/s
SM=24 | 11.730 ms | 45.77 GB/s
SM=25 | 11.729 ms | 45.77 GB/s
SM=26 | 11.750 ms | 45.69 GB/s
SM=27 | 11.752 ms | 45.68 GB/s
SM=28 | 11.735 ms | 45.75 GB/s
SM=29 | 11.735 ms | 45.75 GB/s
SM=30 | 11.731 ms | 45.76 GB/s
SM=31 | 11.732 ms | 45.76 GB/s
SM=32 | 11.738 ms | 45.74 GB/s
SM=33 | 11.737 ms | 45.74 GB/s
SM=34 | 11.772 ms | 45.61 GB/s
SM=35 | 11.770 ms | 45.61 GB/s
SM=36 | 11.741 ms | 45.72 GB/s
SM=37 | 11.740 ms | 45.73 GB/s
SM=38 | 11.793 ms | 45.53 GB/s
SM=39 | 11.793 ms | 45.52 GB/s
SM=40 | 11.730 ms | 45.77 GB/s
SM=41 | 11.730 ms | 45.77 GB/s
SM=42 | 11.750 ms | 45.69 GB/s
SM=43 | 11.752 ms | 45.68 GB/s
SM=44 | 11.734 ms | 45.75 GB/s
SM=45 | 11.733 ms | 45.76 GB/s
SM=46 | 11.732 ms | 45.76 GB/s
SM=47 | 11.733 ms | 45.76 GB/s
SM=48 | 11.738 ms | 45.74 GB/s
SM=49 | 11.737 ms | 45.74 GB/s
SM=50 | 11.773 ms | 45.60 GB/s
SM=51 | 11.772 ms | 45.61 GB/s
SM=52 | 11.743 ms | 45.72 GB/s
SM=53 | 11.744 ms | 45.71 GB/s
SM=54 | 11.796 ms | 45.51 GB/s
SM=55 | 11.794 ms | 45.52 GB/s
SM=56 | 11.729 ms | 45.77 GB/s
SM=57 | 11.730 ms | 45.77 GB/s
SM=58 | 11.758 ms | 45.66 GB/s
SM=59 | 11.754 ms | 45.68 GB/s
SM=60 | 11.734 ms | 45.75 GB/s
SM=61 | 11.734 ms | 45.75 GB/s
SM=62 | 11.732 ms | 45.76 GB/s
SM=63 | 11.733 ms | 45.76 GB/s
SM=64 | 11.737 ms | 45.74 GB/s
SM=65 | 11.737 ms | 45.74 GB/s
SM=66 | 11.772 ms | 45.61 GB/s
SM=67 | 11.771 ms | 45.61 GB/s
SM=68 | 11.741 ms | 45.73 GB/s
SM=69 | 11.741 ms | 45.73 GB/s
SM=70 | 11.792 ms | 45.53 GB/s
SM=71 | 11.793 ms | 45.53 GB/s
SM=72 | 11.729 ms | 45.77 GB/s
SM=73 | 11.730 ms | 45.77 GB/s
SM=74 | 11.753 ms | 45.68 GB/s
SM=75 | 11.751 ms | 45.69 GB/s
SM=76 | 11.732 ms | 45.76 GB/s
SM=77 | 11.734 ms | 45.75 GB/s
SM=78 | 11.731 ms | 45.76 GB/s
SM=79 | 11.732 ms | 45.76 GB/s
SM=80 | 11.771 ms | 45.61 GB/s
SM=81 | 11.772 ms | 45.61 GB/s
SM=82 | 11.742 ms | 45.72 GB/s
SM=83 | 11.742 ms | 45.72 GB/s
SM=84 | 11.790 ms | 45.54 GB/s
SM=85 | 11.793 ms | 45.53 GB/s
SM=86 | 11.729 ms | 45.77 GB/s
SM=87 | 11.729 ms | 45.77 GB/s
SM=88 | 11.749 ms | 45.69 GB/s
SM=89 | 11.748 ms | 45.70 GB/s
SM=90 | 11.734 ms | 45.76 GB/s
SM=91 | 11.734 ms | 45.75 GB/s
SM=92 | 11.733 ms | 45.76 GB/s
SM=93 | 11.732 ms | 45.76 GB/s
SM=94 | 11.773 ms | 45.60 GB/s
SM=95 | 11.772 ms | 45.61 GB/s
SM=96 | 11.743 ms | 45.72 GB/s
SM=97 | 11.745 ms | 45.71 GB/s
SM=98 | 11.793 ms | 45.53 GB/s
SM=99 | 11.794 ms | 45.52 GB/s
SM=100 | 11.730 ms | 45.77 GB/s
SM=101 | 11.729 ms | 45.77 GB/s
SM=102 | 11.750 ms | 45.69 GB/s
SM=103 | 11.753 ms | 45.68 GB/s
SM=104 | 11.735 ms | 45.75 GB/s
SM=105 | 11.735 ms | 45.75 GB/s
SM=106 | 11.733 ms | 45.76 GB/s
SM=107 | 11.732 ms | 45.76 GB/s
SM=108 | 11.772 ms | 45.61 GB/s
SM=109 | 11.773 ms | 45.60 GB/s
SM=110 | 11.745 ms | 45.71 GB/s
SM=111 | 11.746 ms | 45.71 GB/s
SM=112 | 11.793 ms | 45.53 GB/s
SM=113 | 11.793 ms | 45.53 GB/s
SM=114 | 11.729 ms | 45.77 GB/s
SM=115 | 11.730 ms | 45.77 GB/s
SM=116 | 11.751 ms | 45.69 GB/s
SM=117 | 11.751 ms | 45.69 GB/s
SM=118 | 11.736 ms | 45.75 GB/s
SM=119 | 11.735 ms | 45.75 GB/s
SM=120 | 11.733 ms | 45.76 GB/s
SM=121 | 11.734 ms | 45.75 GB/s
SM=122 | 11.771 ms | 45.61 GB/s
SM=123 | 11.772 ms | 45.61 GB/s
SM=124 | 11.740 ms | 45.73 GB/s
SM=125 | 11.742 ms | 45.72 GB/s
SM=126 | 11.792 ms | 45.53 GB/s
SM=127 | 11.793 ms | 45.52 GB/s
SM=128 | 11.729 ms | 45.77 GB/s
SM=129 | 11.730 ms | 45.77 GB/s
